,Unnamed: 0,name,city,phone-number,date,ssn,id,height,weight,age,drinks,smokes,bp-systolic,bp-diast,tumor_size,temperature,stage,drug,double_lung_infection,fup
26,26,Cassandra Hawkins,Diehlstadt,816-577-7453,1997-10-01,843-32-0269,6793063869,5.93,71.56,42,0,1,44,168,3,98,1,Lung_Cure,1,0
27,27,Eric Rojas,Thompsons,739-595-1910,2005-01-11,163-84-1860,505093564,7.27,67.88,54,1,1,79,127,2,95,3,Lung_Cure,1,0
28,28,Rodney Davis,Waumandee,552-396-8034,2009-01-17,893-08-4260,8400434778,7.19,101.16,76,1,0,96,149,4,99,3,Lung_Cure,0,0
29,29,John Hardy,Norway,500-823-7787,2021-04-16,634-34-0985,2588651385,4.74,72.76,23,1,1,67,191,1,98,3,Lung_Cure,1,0
30,30,Natalie Bell,Lilliwaup,378-549-6335,2004-03-30,596-48-8528,1457947800,6.86,74.29,39,0,0,76,175,5,99,2,Lung_Cure,1,0
31,31,Seth Snyder,Hatley,653-913-8654,1983-09-27,661-17-7202,3535295994,5.91,97.88,50,0,1,72,139,4,97,3,Lung_Cure,0,0
32,32,Thomas Price,Lajas,917-263-3567,2014-07-22,655-05-5427,4576862129,5.27,118.69,45,1,0,44,123,5,96,3,Lung_Cure,0,0
33,33,Vernon Miller,Stilwell,387-161-8158,2006-09-01,740-25-0287,6759874427,5.76,82.71,53,0,1,46,151,3,96,3,Lung_Cure,1,0
34,34,Maureen Cox,Burns Harbor,163-282-2705,1971-07-10,334-54-4468,5379329244,7.87,17.35,22,1,0,61,143,2,99,3,Lung_Cure,1,0
35,35,Craig Anderson,Brightwaters,100-797-7286,1971-01-06,117-58-6123,5777884881,7.13,54.9,10,0,1,81,156,2,95,1,Lung_Cure,1,0
36,36,Melinda Hart,Lavinia,152-199-7066,1988-01-23,726-62-8541,9528941616,6.42,74.36,49,0,0,79,167,5,94,3,Lung_Cure,0,0
37,37,Samantha Meyers,Berkeley Lake,428-593-9179,1970-05-19,398-17-4558,8444128108,6.93,74.0,42,0,1,22,177,6,96,1,Lung_Cure,1,0
38,38,Jacqueline Boone,Saint Jacob,475-106-4079,2003-07-08,339-53-4851,5363279565,6.76,44.76,14,0,1,21,126,6,97,2,Lung_Cure,1,0
39,39,Kenneth Hubbard,Northfork,908-479-6302,1980-09-26,274-73-5777,4473857007,6.47,89.11,51,1,0,74,178,2,97,2,Lung_Cure,0,0
40,40,James Lawrence,White Deer,635-268-5653,2007-10-30,082-16-2339,4292879930,7.37,92.1,32,0,1,32,152,4,97,3,Lung_Cure,1,0
41,41,David Gross,Channelview,524-816-8733,1988-07-24,806-45-0197,1345252115,7.66,34.41,75,0,0,74,116,3,97,3,Lung_Cure,0,0
42,42,Donald Briggs,Caney City,572-113-4263,2005-08-30,031-09-2026,388740558,6.79,43.81,66,1,0,79,174,6,95,1,Lung_Cure,0,0
43,43,James Soto,Broaddus,940-054-7584,1987-04-29,243-56-1356,72683925,4.24,77.61,47,0,1,96,148,4,98,2,Lung_Cure,0,0
44,44,Danielle Woods,Webberville,663-887-8158,1987-06-30,605-87-3538,7894593027,5.16,57.26,22,0,0,77,186,3,94,1,Lung_Cure,0,0
45,45,Tabitha Miller,Irma,536-963-9520,2008-09-17,469-28-7964,1512067893,5.13,53.61,30,1,0,48,160,1,98,1,Lung_Cure,0,0
46,46,Elizabeth Peterson,Saint Martins,748-358-2147,1996-12-24,084-35-3561,1377713283,4.83,25.86,44,1,1,41,150,2,98,2,Lung_Cure,0,0
47,47,Todd Harper,Norwood Court,399-207-4807,1972-08-04,230-20-6391,211364288,4.84,90.1,62,1,0,53,116,2,96,3,Lung_Cure,1,0
48,48,Samantha Garner,Inniswold,500-331-0317,1983-04-02,064-92-6076,1554910400,5.63,90.12,11,0,1,41,161,4,96,2,Lung_Cure,1,0
49,49,Amy Massey,Yutan,937-004-0631,2007-12-25,287-50-7345,9246194058,7.52,111.3,58,0,0,94,187,5,95,1,Lung_Cure,1,0
50,50,Gabriel Hutchinson,Cooks Hammock,703-868-6060,2009-07-05,503-87-8657,8895790311,6.25,70.46,79,0,0,56,134,2,96,2,Lung_Cure,1,0
51,51,Donald Flores,Mauriceville,972-067-9780,1970-10-18,892-68-8939,3772654216,5.72,12.6,28,1,0,50,134,3,97,1,Lung_Cure,0,0
52,52,David Davis,Jacobsburg,271-583-1913,2017-06-17,897-66-3257,4281265752,7.38,32.14,31,1,0,38,132,3,95,3,Lung_Cure,0,0
53,53,Stephanie Williams,Geraldine,619-236-1028,1994-01-17,870-01-2576,4414342885,5.96,14.81,31,1,0,44,120,2,98,2,Lung_Cure,1,0
54,54,Thomas Martin,Sheffield Lake,683-848-2888,2013-05-30,689-37-6335,2704828012,6.26,109.56,38,0,0,74,193,2,99,1,Lung_Cure,0,0
55,55,Kim Kramer,Milton Center,629-845-3455,1982-04-27,722-96-6902,7416191651,7.81,24.51,14,1,0,23,125,2,94,3,Lung_Cure,1,0
56,56,Daniel Perez,Tetonia,753-842-9005,1997-08-03,736-62-2793,4653385099,4.74,40.0,36,1,1,31,145,1,97,2,Lung_Cure,0,0
57,57,Leonard Bryant,Ecru,719-045-2483,2012-06-10,593-78-6213,3089135162,4.88,94.45,18,0,0,98,160,5,97,1,Lung_Cure,1,0
58,58,Natalie Cox,Reklaw,812-971-9594,1978-03-28,164-35-1607,2910969009,5.6,71.53,79,0,1,77,112,1,94,3,Lung_Cure,1,0
59,59,Nicholas Gonzalez,Aldrich,917-158-1617,1993-07-31,100-71-1901,9778953887,6.18,82.65,34,1,1,23,199,2,94,1,Lung_Cure,1,0
60,60,Nathan Reed,Piney Point,986-647-3245,2014-04-10,751-36-5304,6488226976,5.96,79.62,36,1,0,36,113,2,96,1,Lung_Cure,1,0
61,61,Isaac Oconnor,Muscoy,902-098-5072,2003-06-15,545-34-3864,6249223457,4.41,67.61,61,0,0,30,172,5,98,2,Lung_Cure,0,0
62,62,Carlos Pena,Pickens,126-525-5563,1970-12-03,808-84-7512,5886261756,7.75,15.04,42,1,1,95,185,5,97,1,Lung_Cure,0,0
63,63,Megan Juarez,Sun River,899-245-2097,1971-07-05,317-69-0103,4388336326,6.13,89.09,63,0,1,42,199,5,97,2,Lung_Cure,1,0
64,64,Matthew Hammond,Campbellsburg,220-643-2142,2021-04-16,141-32-6133,9669977603,6.31,13.93,53,0,0,74,185,1,95,1,Lung_Cure,0,0
65,65,Gabrielle Payne,Poynette,538-126-6990,2017-02-09,558-66-1120,6733089414,5.92,104.44,44,1,1,94,169,3,96,3,Lung_Cure,0,0
66,66,William Clark,South Windham,724-704-3096,2014-10-10,743-46-7529,3456395913,7.46,111.07,34,1,0,48,153,1,94,3,Lung_Cure,0,0
67,67,Karen Edwards,Sanderson,170-145-3201,1974-04-22,384-74-5026,4650838592,4.0,23.73,44,0,0,67,164,3,97,2,Lung_Cure,1,0
68,68,Catherine Thompson DVM,Angel City,107-834-7443,2009-11-05,671-41-1693,4152644208,4.67,73.03,48,1,0,61,142,1,99,2,Lung_Cure,0,0
69,69,Renee Rogers,Bunkerville,766-794-0180,2010-11-14,431-86-3486,5433665196,7.21,96.56,68,0,0,93,137,2,96,1,Lung_Cure,0,0
70,70,Brian Ramos,Gulfport,265-783-6922,1983-04-22,246-06-3940,7647731864,4.94,82.91,63,0,0,31,167,3,94,3,Lung_Cure,1,0
71,71,Justin Savage,Wauregan,396-344-3271,2015-07-31,158-49-8397,8332020392,4.39,82.86,43,0,1,54,196,6,94,3,Lung_Cure,0,0
72,72,Desiree Juarez,Kurtistown,370-000-4473,1978-04-04,358-54-5943,4242599078,4.25,81.25,16,1,1,44,127,1,97,3,Lung_Cure,0,0
73,73,Kathryn Hernandez,Richards,225-975-7620,2010-04-24,373-61-6266,9266393057,4.82,20.53,16,0,0,43,145,4,96,1,Lung_Cure,0,0
74,74,Erik Diaz,Mattawamkeag,198-293-9499,2011-08-26,791-75-2647,2188906660,4.93,28.3,68,1,1,90,120,6,96,2,Lung_Cure,1,0
75,75,Amanda Martinez,Glen Arm,237-820-4596,1973-05-03,080-71-0282,2629763700,6.62,61.54,54,1,0,48,132,4,96,2,Lung_Cure,1,0
76,76,Steven Hicks,Huntertown,924-847-5822,1991-01-09,020-38-8349,7698887975,6.27,26.68,25,0,1,43,171,3,99,3,Lung_Cure,0,0
77,77,Nicole Williams,Briar,745-830-2851,2003-11-04,685-49-4227,9818739111,5.85,119.97,43,0,0,41,185,3,94,1,Lung_Cure,0,0
78,78,Melinda Norris,Akaska,691-152-4398,1985-03-29,759-25-2755,9282156074,4.2,28.73,44,0,0,61,133,5,98,1,Lung_Cure,1,0
79,79,Jennifer Stewart,Menfro,916-258-7534,2014-09-05,269-39-9040,9646376682,6.93,104.16,66,0,0,30,198,3,99,3,Lung_Cure,0,0
80,80,Gabriel Gould,Hinckley,130-055-8631,1973-12-13,450-38-4557,8108609579,4.32,85.75,56,0,1,28,170,3,96,3,Lung_Cure,1,0
81,81,Nancy Goodman,Genola,685-257-2039,1978-06-18,454-30-3138,2858287571,5.6,1.89,27,0,1,92,189,3,97,3,Lung_Cure,1,0
82,82,Michael Rangel,Welaka,104-051-9279,2018-02-27,514-89-8574,5614197018,4.28,71.79,30,0,0,91,164,4,95,1,Lung_Cure,0,0
83,83,James Robinson,Becida,279-945-7888,1972-04-16,216-44-1687,4979027971,7.51,67.38,24,1,1,21,119,2,96,1,Lung_Cure,1,0
84,84,Joshua Phillips,Halawa,236-041-2979,1983-07-27,082-32-2514,3046010310,6.13,75.67,73,0,1,96,156,2,99,1,Lung_Cure,0,0
85,85,Denise Ayala,Endwell,551-351-2534,1988-09-25,685-75-1580,6941873509,6.33,20.77,23,0,0,79,154,6,98,3,Lung_Cure,1,0
86,86,Jason Washington,Roberts,659-305-9767,1997-12-30,283-82-9437,633650510,7.76,28.09,28,1,1,36,113,3,95,1,Lung_Cure,0,0
87,87,Kendra Burns,Santa Ana,305-236-7096,2006-01-06,341-76-3805,1097660282,7.37,107.74,63,0,1,48,188,3,95,3,Lung_Cure,1,0
88,88,Shelby Chaney,Tallaboa,701-110-2151,1995-08-22,582-37-4608,1959333610,6.97,92.0,30,1,1,66,198,3,99,2,Lung_Cure,0,0
89,89,Edward Bowman,Ragan,195-560-1654,2011-10-25,865-61-0365,3433799785,6.13,7.05,41,1,0,65,169,2,95,3,Lung_Cure,1,0
90,90,Adrian Mccullough,Vinita Park,175-783-9803,2000-07-03,637-86-1028,9557625669,5.32,96.55,25,0,0,81,115,3,97,2,Lung_Cure,0,0
91,91,Jonathan Neal,Ronda,647-768-3395,1991-06-16,254-30-5321,668991003,4.75,33.21,13,1,1,50,127,3,95,3,Lung_Cure,1,0
92,92,Robert Morales,Mount Ida,395-933-1354,2015-05-09,312-16-6268,4911651112,5.26,52.21,73,1,1,87,185,3,97,1,Lung_Cure,1,0
93,93,David Bennett,New Madison,258-775-4654,1992-10-21,434-63-4339,3419202534,5.0,97.38,70,0,0,74,151,1,99,2,Lung_Cure,1,0
94,94,Mary Mueller,Grantville,667-367-1436,1982-02-14,067-80-7705,7824834535,5.08,82.13,34,0,0,22,136,1,95,1,Lung_Cure,1,0
95,95,Kathleen Cervantes,Ouachita,412-742-6187,2011-05-02,185-58-0332,9155249887,4.62,90.56,79,0,0,21,171,4,97,3,Lung_Cure,1,0
96,96,Joseph Patel,Balko,617-065-9082,2014-08-29,166-13-0782,1933303289,7.25,109.25,46,0,1,39,196,6,94,1,Lung_Cure,0,0
97,97,Virginia Gonzalez,Ellerbe,334-938-4222,1984-05-04,223-37-5865,3506336554,7.17,78.61,59,0,0,34,147,5,97,1,Lung_Cure,0,0
98,98,James Dixon,Clem,970-949-9206,2015-04-03,143-91-0740,2357906113,5.28,35.13,70,0,1,69,120,5,97,1,Lung_Cure,0,0
99,99,Samuel Miller,Asbury Park,309-048-3209,2019-12-20,241-37-0066,8534789199,5.19,100.11,21,0,1,46,133,5,95,3,Lung_Cure,0,0
100,100,Catherine Riley,Lodge,991-585-2705,1976-09-03,749-89-1021,4122009035,4.67,73.16,60,1,0,27,130,1,94,3,Lung_Cure,1,0
101,101,Monica Martinez,Cortez,796-469-8662,2012-02-01,270-67-6995,6127179083,7.03,117.3,32,1,1,91,126,4,98,1,Lung_Cure,0,0
102,102,Michele Miller,Butterfield,587-533-9006,1996-09-25,046-69-0401,3997979334,6.11,73.21,17,1,0,27,171,3,97,2,Lung_Cure,1,0
103,103,Bobby Jackson,Cocoa Beach,907-572-7410,2010-09-07,847-32-1804,3895512661,5.6,28.41,20,1,1,77,195,2,95,1,Lung_Cure,1,0
104,104,Rickey Smith,Shawville,324-803-1955,1977-02-17,073-88-2292,2776794871,7.34,86.75,47,1,1,86,118,4,98,2,Lung_Cure,0,0
105,105,Daniel Greene,Woodbine,346-743-9834,2005-09-09,137-66-3434,2274139141,6.06,44.37,72,1,1,80,152,1,98,3,Lung_Cure,1,0
106,106,Juan Fuentes,Tillmans Corner,590-935-1511,1992-10-01,574-47-2943,3699565110,7.94,2.68,71,0,1,20,140,6,97,3,Lung_Cure,1,0
107,107,Erica Church,Way,892-022-8722,1991-03-22,523-19-0907,355668169,4.03,117.7,34,0,1,59,160,3,97,1,Lung_Cure,1,0
108,108,John Todd,Redstone,470-174-2357,2006-01-12,181-27-4206,7929994506,5.35,32.51,16,1,1,82,157,5,94,2,Lung_Cure,1,0
109,109,Ronald Johnson,Gilberts,579-208-1995,1987-09-11,568-45-2242,3055452425,7.75,56.99,59,0,0,23,111,4,98,1,Lung_Cure,1,0
110,110,Sharon Macdonald,Collettsville,507-911-9192,1986-12-24,206-74-3596,8416644045,6.3,42.55,48,1,0,84,119,5,98,3,Lung_Cure,0,0
111,111,Sarah Richards,Modesto,151-073-1456,1980-05-20,657-19-5219,2203949278,5.48,65.92,58,1,0,68,184,3,98,1,Lung_Cure,0,0
112,112,Patricia Mathis,Au Train,770-828-6180,1987-12-28,571-16-0886,2885004497,5.69,8.3,27,0,1,24,113,5,98,3,Lung_Cure,1,0
113,113,Lisa Nguyen,Raymondville,570-713-7504,2000-01-03,317-15-4133,4636650070,5.71,107.08,12,1,0,43,153,1,94,2,Lung_Cure,0,0
114,114,Donald Stephens,Escalante,484-075-5942,1995-11-14,742-05-5616,9760553563,5.21,85.3,30,1,0,66,146,1,94,1,Lung_Cure,0,0
115,115,Michael Shelton,Hahntown,326-654-3183,2005-04-05,079-11-8508,1887367584,5.98,38.05,66,0,0,51,197,6,95,3,Lung_Cure,1,0
116,116,Miranda Berry,Henryetta,929-337-1500,2000-08-07,888-68-5617,1890125567,4.02,68.91,38,0,1,34,127,5,94,2,Lung_Cure,0,0
117,117,Caleb Fernandez,Upper Grand Lagoon,316-134-4114,2003-09-12,424-05-7678,1733577782,7.08,34.75,21,0,0,97,126,2,97,1,Lung_Cure,1,0
118,118,David Haney,Highlands Ranch,221-622-6971,2006-11-05,796-75-3486,6054112050,7.1,31.14,13,0,0,76,126,2,95,2,Lung_Cure,1,0
119,119,Pamela Scott,Speers,486-528-5625,1975-01-15,098-17-6850,1600079398,7.93,71.12,77,1,0,62,169,2,99,2,Lung_Cure,0,0
120,120,Kevin King,Cajah's Mountain,244-954-3350,2017-09-15,186-96-5241,2111909095,5.13,58.15,65,1,1,95,151,5,98,3,Lung_Cure,0,0
121,121,Tina Lee,Fair Oaks,574-990-7848,1975-04-09,502-67-8474,9111555906,5.46,89.24,44,1,0,78,121,3,94,1,Lung_Cure,0,0
122,122,Nicole Perez,Musicks Ferry,860-672-9840,1995-02-03,519-30-1835,4690118694,4.0,20.68,63,0,1,49,181,4,99,3,Lung_Cure,1,0
123,123,Carolyn Thompson,Dycusburg,879-649-4743,2007-04-05,586-33-8624,3332151918,4.63,63.99,18,1,1,55,138,5,95,2,Lung_Cure,0,0
124,124,Craig Allen,North Fond du Lac,403-062-3387,2012-12-16,049-48-7180,7165486422,7.47,72.72,42,1,1,94,163,4,95,2,Lung_Cure,1,0
125,125,Dan Kramer,Holts Corner,839-569-0455,1972-07-27,059-17-9991,3192733057,6.8,6.26,32,1,1,62,185,1,98,1,Lung_Cure,0,0
126,126,Mrs. Beth Ellis,Johns,348-395-2661,1990-09-23,424-95-8859,8819063136,5.43,21.76,55,0,0,36,192,6,94,1,Lung_Cure,1,0
127,127,Todd Diaz,Kenton Vale,180-250-3833,1980-06-07,475-66-2708,5514806951,7.28,98.01,24,0,1,70,121,6,98,1,Lung_Cure,1,0
128,128,Dustin Simmons,Waldenburg,315-869-3391,1976-03-16,594-16-5905,4228081474,4.19,58.2,41,1,0,43,169,1,99,3,Lung_Cure,0,0
129,129,Yvette Arias,Jet,109-234-1481,2010-05-18,492-64-8566,9092278902,6.01,76.66,77,0,1,56,178,4,94,2,Lung_Cure,1,0
130,130,Janet Grant,Kekaha,504-378-5616,2016-06-29,437-49-6650,164857872,7.41,17.17,33,0,1,73,162,1,98,2,Lung_Cure,0,0
131,131,Ryan Rose,Windham,433-500-9743,2008-07-04,884-93-6131,6295975119,6.48,71.43,40,1,0,47,180,5,99,1,Lung_Cure,0,0
132,132,Danielle Smith,Lipscomb,684-798-0834,1976-04-11,792-18-8482,7984536345,4.69,65.88,41,0,0,26,197,6,94,3,Lung_Cure,0,0
133,133,Jimmy Martinez,McVeigh,652-381-8561,1974-08-01,607-43-5991,9556307512,5.11,118.46,42,1,1,32,195,5,95,3,Lung_Cure,0,0
134,134,Barbara Thomas,Oregonia,678-358-6922,1976-11-13,399-91-0865,6197543912,4.16,49.92,22,0,0,48,171,6,94,1,Lung_Cure,0,0
135,135,Frederick Carson,Elsey,642-519-0680,2016-06-04,600-14-8269,9622578457,5.55,20.93,61,1,0,98,143,4,95,2,Lung_Cure,0,0
136,136,Tyler Gray,Sardis,438-416-6158,1970-12-02,226-85-7315,6059715865,7.08,70.95,16,0,0,39,131,4,95,2,Lung_Cure,1,0
137,137,Meghan Nguyen,Hobson,289-235-7772,2006-03-28,438-98-8117,1526266397,4.69,93.7,45,1,0,91,118,2,97,3,Lung_Cure,0,0
138,138,Andrew Schneider,Canjilon,471-538-8207,2006-08-08,505-17-0717,6929143849,4.49,9.09,30,1,1,75,169,3,98,1,Lung_Cure,0,0
139,139,Richard Benton,Coteau Holmes,551-525-1584,2001-08-23,665-24-8430,3839886794,5.15,108.4,11,0,1,91,126,2,96,3,Lung_Cure,1,0
140,140,Chad Edwards,Hillister,275-047-9167,1995-10-13,637-77-4364,4708744184,7.72,42.47,24,1,0,65,196,2,94,1,Lung_Cure,1,0
141,141,Nicole Garrett,Koliganek,602-439-1816,1996-08-06,036-99-9280,7551137021,6.04,89.15,20,1,1,30,188,5,96,1,Lung_Cure,1,0
142,142,Judith Cook,Des Moines,841-280-7604,1997-07-25,837-43-9072,8392678546,6.65,53.41,78,1,0,82,179,3,95,1,Lung_Cure,1,0
143,143,Oscar Peters,Darnestown,964-016-9765,1998-11-01,339-75-6286,2861979570,4.92,69.02,36,0,0,25,162,1,99,1,Lung_Cure,0,0
144,144,Christina Martinez,Tehama,262-840-1237,1987-06-06,081-11-5373,2298455226,5.8,58.87,42,1,1,39,193,3,94,1,Lung_Cure,1,0
145,145,Laura Aguilar,Livingston Manor,507-370-0421,1992-07-06,767-40-3800,4772559725,4.07,15.87,58,1,1,96,146,6,98,2,Lung_Cure,1,0
146,146,Robert Douglas,McNeill,649-419-4678,2012-06-13,197-92-9600,1200307335,4.88,10.84,17,0,1,92,194,4,94,3,Lung_Cure,0,0
147,147,Michael Khan,Edgemont,596-882-0877,1981-10-14,753-81-9636,4774516759,4.37,30.0,18,1,1,39,190,1,94,2,Lung_Cure,1,0
148,148,Jerry Thompson,Twin Lakes Village,756-622-1731,1974-07-23,851-60-6616,6587768055,5.38,89.18,38,0,0,33,136,3,95,3,Lung_Cure,1,0
149,149,Danielle Sanchez,Bazile Mills,617-114-3904,1979-06-25,877-06-8732,4351145825,6.05,23.03,19,1,0,49,149,5,98,1,Lung_Cure,0,0
150,150,Charles Maldonado,Two Creeks,603-238-2817,2002-12-20,854-03-4734,5738452974,7.48,34.65,33,1,1,47,149,3,98,2,Lung_Cure,0,0
151,151,Travis Wilson,Northfield Woods,665-519-5252,2003-12-03,051-48-5660,9544027613,6.38,47.85,30,1,1,92,137,4,96,3,Lung_Cure,0,0
152,152,Lacey Mason PhD,Chester Heights,643-722-7307,1985-04-10,687-20-9958,682267454,6.69,14.63,71,0,1,61,136,6,94,3,Lung_Cure,0,0
153,153,Bailey Rhodes,George West,866-309-1362,1973-12-03,429-74-8515,1817805371,7.12,22.87,55,1,1,66,126,6,94,3,Lung_Cure,1,0
154,154,Robert Burke,Russell City,406-267-0217,2012-03-23,504-71-5290,6061170184,4.78,40.36,27,0,0,83,195,3,97,1,Lung_Cure,0,0
155,155,Donna Armstrong,Blue River,349-380-6113,2018-09-11,297-62-0236,549456070,6.99,63.32,31,0,0,42,165,5,96,1,Lung_Cure,1,0
156,156,Kristen Shelton,Cushman,643-636-8596,1976-10-24,709-18-9385,8438073247,7.39,8.5,20,1,0,35,112,3,94,3,Lung_Cure,1,0
157,157,Juan Stevens,Saragosa,930-039-4557,1983-04-14,431-28-1057,1943262954,4.25,103.88,67,0,1,79,181,2,99,2,Lung_Cure,0,0
158,158,William Edwards,Hazel Hurst,882-488-2638,2012-09-27,147-67-0218,5640248098,7.91,42.95,67,0,1,28,111,6,95,2,Lung_Cure,0,0
159,159,Samantha Barnes,Wauneta,375-202-0181,2020-11-11,461-32-8601,6256545836,5.96,68.31,72,1,1,55,115,4,95,3,Lung_Cure,0,0
160,160,Jacqueline Mason,Maywood,833-624-3543,1991-03-24,563-84-4603,6870773395,4.59,87.19,62,0,0,93,133,4,95,3,Lung_Cure,0,0
161,161,Susan Bright,North Sea,370-993-9775,1988-08-14,523-49-4534,826096799,6.57,60.33,61,0,1,92,138,5,98,2,Lung_Cure,1,0
162,162,Todd Baldwin,Shady Grove,624-849-2450,2001-05-11,131-91-8149,5183985325,5.05,113.33,11,1,1,53,192,6,95,2,Lung_Cure,0,0
163,163,Bill Banks,Waggoner,419-867-1509,1994-09-30,511-52-4466,3364353604,4.72,113.48,35,0,0,45,110,4,96,3,Lung_Cure,1,0
164,164,John Marshall,Barneveld,522-611-2552,1992-04-04,654-08-3686,996974022,4.68,21.46,37,1,0,52,186,6,99,1,Lung_Cure,1,0
165,165,Angela Dorsey,LaMoure,747-688-5164,1980-06-01,441-96-6265,412273985,5.63,87.18,51,0,0,73,128,2,95,3,Lung_Cure,0,0
166,166,Chad Bradshaw,Redmon,352-291-7650,2018-01-22,561-63-2145,6692640513,6.65,49.29,51,1,0,76,181,1,98,2,Lung_Cure,1,0
167,167,Andrew Cook,Clendenin,426-763-8023,1993-07-25,444-01-2185,822608664,7.57,16.35,52,1,0,70,116,1,94,3,Lung_Cure,1,0
168,168,Jody Garcia,Carnero,607-736-1252,2005-11-27,593-54-6376,4341915683,5.54,58.48,66,1,0,65,133,2,99,1,Lung_Cure,0,0
169,169,Kathryn Rose,Joel,154-138-1890,1988-12-20,056-44-5191,7477536173,4.1,7.26,19,1,1,77,185,6,94,3,Lung_Cure,0,0
170,170,Sarah Kane,Margaret,878-878-5402,2006-06-10,611-31-9725,6668572367,6.04,98.98,44,1,1,92,165,5,96,3,Lung_Cure,1,0
171,171,Kimberly Alexander,DuPont,110-330-8939,1990-03-29,710-03-3858,2706796292,5.2,24.25,54,0,1,89,168,5,98,3,Lung_Cure,1,0
